"Table S6. Quasi-likelihood F-tests for NS0794 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase,-0.653882051,3.629557911,0.439280424,0.541205949,0.99577859
Listeria sRNA rli38,-0.558012834,6.651934335,0.438935283,0.541357583,0.99577859
Bacterial small signal recognition particle RNA,0.505429351,0.060899661,0.438219244,0.541698742,0.99577859
bis(5'-nucleosyl)-tetraphosphatase (symmetrical),-0.512574623,7.756729379,0.438081548,0.541733069,0.99577859
HTH cro/C1-type domain-containing protein,-0.2495211,9.866427087,0.437660749,0.541918343,0.99577859
Nitrogen regulatory protein P-II,-0.286260351,6.335217569,0.437346742,0.542056685,0.99577859
"ATP synthase F0, A subunit",0.247202098,9.716900338,0.436603852,0.542384273,0.99577859
Cell division protein ZapA,0.597240018,5.915896592,0.436105778,0.542604138,0.99577859
GNAT-like C-terminal domain-containing protein,-0.303684151,6.001611611,0.43535201,0.54293723,0.99577859
"putative L-serine dehydratase, alpha chain",0.27456546,5.510694266,0.434852213,0.543158328,0.99577859
Glutamyl-tRNA(Gln) amidotransferase subunit C,0.24985007,7.026748974,0.43252987,0.544188159,0.99577859
Helicase,-0.295847858,1.388209066,0.432420053,0.544241979,0.99577859
Bifunctional protein FolD,0.254839644,6.082888526,0.431578166,0.544611374,0.99577859
General stress protein,-0.945389909,10.62854507,0.431065627,0.544839582,0.99577859
Capsular polysaccharide biosynthesis protein CpsC,-0.466997892,7.894903981,0.430768262,0.544972076,0.99577859
PF03932 family protein CutC,-0.333833999,5.863684046,0.430420507,0.545127109,0.99577859
Bacteriocin-type signal sequence,0.460888532,2.362409141,0.430330239,0.545168627,0.99577859
"Putative Dihydrolipoamide dehydrogenase, Mercuric ion reductase",-0.765208352,4.659482586,0.428628647,0.545927411,0.99577859
Putative mRNA interferase YoeB,0.413617499,5.887023475,0.426903415,0.546700295,0.99577859
PTS system oligo-beta-mannoside-specific EIIC component,-0.610922453,4.798051212,0.426571438,0.546849283,0.99577859
VanZ like family protein,0.292744842,6.08856447,0.426533671,0.546866237,0.99577859
DUF2969 domain-containing protein,-0.247225887,6.299628265,0.424891639,0.54760447,0.99577859
Metal-dependent carboxypeptidase,-0.44788075,9.104914867,0.424151428,0.547937947,0.99577859
Asp,0.301552781,9.195894664,0.42247269,0.54869584,0.99577859
MSCRAMM family collagen-binding adhesin EcbA,-0.367997812,-0.231248328,0.422196888,0.548855791,0.99577859
Heme chaperone HemW,-0.297875004,5.149193753,0.421648457,0.549068766,0.99577859
DinB-like domain-containing protein,-0.440395861,5.229745497,0.418841953,0.550342613,0.99577859
putative cell division protein WhiA,-0.387749861,7.79199232,0.418786112,0.550368022,0.99577859
Peptidoglycan hydrolase,0.829374167,8.130986092,0.418727503,0.550394694,0.99577859
ATP-dependent zinc metalloprotease FtsH,-0.25675019,11.49678866,0.418375229,0.550555063,0.99577859
DNA-binding protein,-0.243938782,8.18147403,0.41817163,0.550647795,0.99577859
Enterocin A immunity protein,-0.539570301,0.457399759,0.417064674,0.551164943,0.99577859
N5-carboxyaminoimidazole ribonucleotide mutase,0.823424811,4.897526649,0.417025035,0.551170648,0.99577859
Metallo-beta-lactamase domain-containing protein,-0.243608889,8.410454426,0.416822552,0.551263088,0.99577859
TetR family dihydroxyacetone kinase regulator,0.250011729,6.661005414,0.414978052,0.552106707,0.99577859
D-galactonate dehydratase,0.354134009,5.828906104,0.413494291,0.552787332,0.99577859
DUF4145 domain-containing protein,0.262021779,8.758547047,0.413454305,0.552805698,0.99577859
tRNA 5-hydroxyuridine methyltransferase,-0.2863129,6.092203182,0.412873845,0.553072471,0.99577859
Hemolysin III,0.485858253,7.154863474,0.412218575,0.553373955,0.99577859
HIT domain-containing protein,0.280210507,7.295802211,0.410755721,0.554048268,0.99577859
PTS system ascorbate-specific transporter subunit IIA,-0.575365992,8.664045713,0.410702809,0.554072691,0.99577859
Large ribosomal subunit protein uL3,-0.642674414,9.763369516,0.410514504,0.554159627,0.99577859
NAD-dependent epimerase/dehydratase,0.248293359,9.765133954,0.410276367,0.554269612,0.99577859
HTH-type transcriptional regulator ArcR,-0.277970393,2.718709381,0.408887673,0.554911946,0.99577859
High-affinity zinc uptake system membrane protein ZnuB,-0.480424908,5.452227746,0.408647775,0.555023036,0.99577859
SEFIR domain-containing protein,0.238914814,6.900583885,0.408155753,0.555251087,0.99577859
IS3 family ISEfa10 transposase ORF A,0.29556702,5.496995128,0.407398363,0.555602529,0.99577859
Glutamine ABC transporter permease,0.240008927,10.51804744,0.405975554,0.556264026,0.99577859
Acetophenone carboxylase alpha subunit,0.64112293,8.176715959,0.405904491,0.556297109,0.99577859
ABC transporter ATP-binding protein/permease,-0.532042797,10.83072692,0.405824258,0.556334466,0.99577859
Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase,-0.364559594,5.726819048,0.403404431,0.557463697,0.99577859
PemK family protein,0.272640433,7.508448786,0.402588109,0.557845751,0.99577859
Small ribosomal subunit protein uS19,-0.568578832,9.382926365,0.402367113,0.557949278,0.99577859
Small ribosomal subunit biogenesis GTPase RsgA,0.288803898,7.929255665,0.401284822,0.558456882,0.99577859
Phosphoesterase,-0.368757633,6.973385312,0.400752449,0.558706935,0.99577859
Pyrimidine-nucleoside phosphorylase,-0.267195223,7.614906124,0.40007861,0.559023779,0.99577859
D-3-phosphoglycerate dehydrogenase,-0.373815557,5.230509794,0.399462034,0.559314039,0.99577859
Superoxide dismutase,-0.704014924,9.753204022,0.398745479,0.55965177,0.99577859
putative acetyl-CoA acyltransferase,-0.322442088,7.310240084,0.397289334,0.56033945,0.99577859
tRNA-Arg(ccg),0.455330088,4.181157056,0.396490591,0.560717445,0.99577859
4-hydroxy-tetrahydrodipicolinate reductase,0.34265469,5.776411017,0.396182333,0.560863466,0.99577859
Plasmid replication initiation protein,-0.302337063,7.986019377,0.39561775,0.561131127,0.99577859
Sporulation initiation inhibitor protein Soj,-0.264753581,7.089256277,0.394804095,0.561517357,0.99577859
Aspartate/glutamate permease AcaP,-0.583014416,9.460650075,0.394599734,0.561614455,0.99577859
ABC-F type ribosomal protection protein Eat(A),0.653897815,6.527575764,0.394494963,0.561664248,0.99577859
CSD domain-containing protein,0.596833067,7.808080438,0.393828167,0.561981375,0.99577859
"Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase",-1.729804876,5.73322849,0.393441263,0.562165565,0.99577859
Conjugative transposon membrane protein,-0.329674517,0.626970514,0.393358414,0.562214369,0.99577859
Calcineurin-like phosphoesterase domain-containing protein,0.408711988,6.878168981,0.393123194,0.562317081,0.99577859
tRNA dimethylallyltransferase,-0.242229698,6.788859819,0.391342318,0.563167068,0.99577859
putative nicotinate-nucleotide adenylyltransferase,-0.461337134,7.483932053,0.389778839,0.563915595,0.99577859
DUF5348 domain-containing protein,0.324056123,5.141109277,0.389470253,0.56406359,0.99577859
Transcription antitermination protein NusB,0.295824283,8.90576128,0.389199786,0.56419337,0.99577859
Tail component,-0.300326074,0.152732922,0.387902267,0.564835362,0.99577859
Glycine--tRNA ligase beta subunit,-0.730409104,8.041090165,0.387796204,0.564867913,0.99577859
Cell division protein SepF,-0.276697198,9.257779132,0.387656285,0.564935253,0.99577859
Replication initiation protein,-0.470189193,6.836889184,0.386770185,0.565362117,0.99577859
Methyltransferase,-0.523813678,7.619572254,0.386452181,0.565515481,0.99577859
Putative aromatic acid exporter C-terminal domain-containing protein,0.383431514,6.742722586,0.38601741,0.565725305,0.99577859
MIP18 family-like domain-containing protein,0.416004379,7.682007224,0.385610299,0.565921935,0.99577859
Uncharacterized protein YabO,-0.364105043,4.484578791,0.384935709,0.566248084,0.99577859
Phage head closure protein,0.643929465,-2.759673392,0.384161064,0.566719618,0.99577859
DNA topoisomerase 4 subunit A,-0.55177988,8.544078779,0.383638063,0.566876615,0.99577859
Succinate dehydrogenase cytochrome b558 subunit,0.393393815,1.427535555,0.382875094,0.567251575,0.99577859
YxeA family protein,0.722608471,10.18687399,0.382765732,0.567299999,0.99577859
LysR family transcriptional regulator,-0.231874104,7.233252131,0.382590602,0.567385081,0.99577859
CAAX amino terminal protease,0.326804919,8.506940362,0.380498531,0.56840362,0.99577859
Septation ring formation regulator EzrA,0.236736109,10.47620619,0.379792733,0.568748147,0.99577859
RNA polymerase sigma factor SigA,-0.2296531,8.682482564,0.378542887,0.569359368,0.99577859
UPF0234 protein LA_3406,0.258851273,7.315912984,0.378258255,0.569498766,0.99577859
Thymidylate synthase,-0.521508559,6.8662761,0.37401328,0.57158666,0.99577859
UPF0756 membrane protein LBA0919,0.313408986,7.959667317,0.37349719,0.571841649,0.99577859
PhnB-like domain-containing protein,0.236700807,6.873846834,0.37147743,0.572841985,0.99577859
Large ribosomal subunit protein bL35,-0.498341904,8.579831253,0.371386065,0.572887327,0.99577859
V-type ATP synthase subunit D,0.247188092,8.883362054,0.370718616,0.573218805,0.99577859
Iron ABC transporter permease,-0.380979893,4.198847457,0.370189736,0.57348177,0.99577859
Inner membrane component domain-containing protein,0.231760312,5.406234618,0.368908678,0.574119822,0.99577859
Peptidase A24A N-terminal domain-containing protein,-0.395297649,1.894742516,0.368291899,0.574430976,0.99577859
Segregation and condensation protein B,0.258015335,6.495905348,0.366563868,0.575291779,0.99577859
BppU N-terminal domain-containing protein,-0.381587864,2.267012199,0.363304031,0.57692998,0.99577859
Peptide methionine sulfoxide reductase MsrB,-0.271502525,6.292424485,0.363147805,0.577008693,0.99577859
Transposase putative helix-turn-helix domain-containing protein,0.24852466,3.425726771,0.362938605,0.577114219,0.99577859
Thermophilic aminopeptidase 1 alpha chain,-0.256307468,7.875187181,0.362577672,0.577296353,0.99577859
ABC-2 type transporter,-0.320296642,6.684583579,0.362047911,0.577563929,0.99577859
Prophage Lp1 protein 7,0.231044156,5.752037613,0.361118733,0.578033914,0.99577859
"Beta-carotene 15,15'-monooxygenase",-0.238290357,6.509913548,0.360666895,0.578262765,0.99577859
CwlT-like lysozyme domain-containing protein,0.595391105,6.498886202,0.360433976,0.578380815,0.99577859
DUF4355 domain-containing protein,0.224880419,7.005205275,0.35898846,0.579114648,0.99577859
TraD/TraG TraM recognition site domain-containing protein,-0.244156511,7.217737033,0.358956957,0.579130665,0.99577859
D-aspartate ligase,0.227808317,9.990714286,0.358315517,0.579456986,0.99577859
Small ribosomal subunit protein uS5,-0.385994796,9.941081658,0.358146516,0.579543031,0.99577859
Uracil-DNA glycosylase,-0.261178975,6.781025076,0.357116221,0.580068212,0.99577859
"dTDP-4-dehydrorhamnose 3,5-epimerase",-0.299463011,8.595422173,0.356868624,0.58019458,0.99577859
lipoate--protein ligase,-0.220348095,8.582060002,0.356816049,0.580221421,0.99577859
"UDP-N-acetylglucosamine 4,6-dehydratase",-1.716208077,6.761136631,0.35644536,0.580410748,0.99577859
Competence protein ComGA,-0.317849049,0.392755951,0.35638419,0.580457018,0.99577859
Primosomal protein N',0.221805687,8.058447875,0.356048422,0.580613635,0.99577859
DUF5673 domain-containing protein,-0.241114668,6.014922634,0.355797492,0.580741975,0.99577859
Amino acid permease/ SLC12A domain-containing protein,0.217760742,8.239193338,0.353897953,0.581715574,0.99577859
PTS system Galactitol-specific IIC component,0.725001159,8.123450163,0.353734384,0.581799582,0.99577859
"Alpha-1,2-mannosidase family protein",-0.220324399,7.151416967,0.353677087,0.581829016,0.99577859
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD,-0.340562862,7.926336487,0.353531063,0.581904045,0.99577859
phosphoenolpyruvate carboxykinase (ATP),-0.286202691,7.157754181,0.350873452,0.583273359,0.99577859
Integrase/recombinase,0.27016074,3.137404143,0.350557765,0.583436512,0.99577859
Transglycosylase SLT domain-containing protein,-0.323995833,4.557749501,0.349701718,0.583879395,0.99577859
Dipeptidase,-0.224944888,9.10651959,0.349023464,0.584230842,0.99577859
Cysteine desulfurase,-0.377602313,9.010393798,0.348512996,0.584495666,0.99577859
Pectinesterase,-0.401651343,1.072717771,0.347892202,0.584823948,0.99577859
ATP-dependent DNA helicase RecG,-0.221512041,8.389155006,0.345153442,0.586245343,0.99577859
putative transcriptional regulatory protein lmo1535,-0.228270611,6.62560529,0.342924821,0.587412583,0.99577859
Cell division protein FtsA,0.220650891,10.3894169,0.341892988,0.587954794,0.99577859
Sensor histidine kinase,-0.279433755,6.733605282,0.341798615,0.588004442,0.99577859
Dihydroxyacetone kinase,-0.653169526,7.971662197,0.34171944,0.588046102,0.99577859
Serine protease Do-like HtrA,-0.292611347,8.18560173,0.340559948,0.58865697,0.99577859
Large ribosomal subunit protein uL23,-0.621954477,8.621476459,0.338748361,0.589614286,0.99577859
Multiple sugar transport system periplasmic sugar-binding protein,-0.312682564,2.739602803,0.337848901,0.590090943,0.99577859
Replicative DNA helicase,0.239198525,7.449541924,0.33783227,0.590099737,0.99577859
Small ribosomal subunit protein uS8,-0.431006772,9.947890752,0.336211185,0.590961016,0.99577859
Adhesin isopeptide-forming adherence domain-containing protein,-0.265083616,6.939326384,0.335820107,0.591169226,0.99577859
UvrABC system protein A,-0.25688159,7.770837814,0.335447136,0.591367951,0.99577859
Elongation factor Tu,-0.346875877,14.09299371,0.33530144,0.591445622,0.99577859
Nucleic acid-binding protein,0.216820841,9.609121643,0.335278475,0.591457866,0.99577859
Pyruvate carboxylase subunit B,-0.332273137,8.033850678,0.333315326,0.592506758,0.99577859
5-formyltetrahydrofolate cyclo-ligase,0.213953373,6.504817648,0.330051075,0.594260297,0.99577859
FMN riboswitch (RFN element),0.373179726,7.021796918,0.329590063,0.594508912,0.99577859
Zinc transport system ATP-binding protein AdcC,-0.348206134,4.919788284,0.328375342,0.595165139,0.99577859
Thioredoxin domain-containing protein,0.331326276,7.806304915,0.328295904,0.595208111,0.99577859
Uncharacterized zinc-type alcohol dehydrogenase-like protein AdhB,-0.552514409,6.631571155,0.32738518,0.595701288,0.99577859
tRNA-Ala(tgc),0.481497774,6.88845421,0.326961638,0.595930966,0.99577859
Stress response protein,-0.754749357,10.21374549,0.326807853,0.596014411,0.99577859
D-alanine--D-alanine ligase,-0.245787422,8.885507924,0.325929416,0.596491577,0.99577859
Cation transporter,-0.245302933,6.131073753,0.325873055,0.596522222,0.99577859
Zinc ABC transporter substrate-binding protein,-0.283510599,4.919571274,0.321805464,0.598743574,0.99577859
Cytochrome P450,-0.496299797,7.05615527,0.321647685,0.598830124,0.99577859
"Phosphotransferase system, trehalose-specific IIBC component",-0.306007415,12.22985041,0.320978555,0.599197505,0.99577859
DUF1694 domain-containing protein,0.383896578,7.891620444,0.320398932,0.599516166,0.99577859
IS3 family ISEfa8 transposase ORF B,0.295090823,9.264998142,0.320164753,0.599645024,0.99577859
Rqc2-like protein RqcH,-0.208794311,7.694072331,0.320146969,0.599654812,0.99577859
D-alanyl carrier protein,0.620975011,6.087556328,0.319714043,0.599893209,0.99577859
Pseudouridine synthase,-0.265813327,9.657181124,0.31802235,0.600826884,0.99577859
Large ribosomal subunit protein uL4,-0.59324859,10.13889548,0.316782541,0.60151331,0.99577859
Enterococcus sRNA 84,0.261678208,3.998505931,0.316506198,0.601666564,0.99577859
Zinc-ribbon domain-containing protein,0.300064411,2.876690377,0.315815736,0.602049882,0.99577859
Class I SAM-dependent rRNA methyltransferase,-0.206350879,7.50774378,0.315167109,0.602410456,0.99577859
IS3 family IS1485 transposase ORF B,0.216141828,6.314878751,0.31426607,0.602912218,0.99577859
Transcriptional repressor frmR,-0.237635471,7.23271894,0.314024308,0.603047015,0.99577859
DUF3221 domain-containing protein,-0.253622806,6.184477327,0.313799635,0.603172347,0.99577859
Stimulator of FtsZ polymerization and component of cell-division Z-ring,0.472758903,4.128797878,0.309407614,0.60563474,0.99577859
Rep protein,0.828602163,8.956425458,0.309226664,0.605736692,0.99577859
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",-0.268149131,11.40660637,0.308910432,0.605914972,0.99577859
"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",-0.345652416,4.576879717,0.308809722,0.605971776,0.99577859
Holin,-0.364672547,0.424897119,0.306880384,0.607074024,0.99577859
Tyrosine recombinase XerS,0.223412112,6.202540116,0.305488818,0.607851893,0.99577859
RNA binding protein,0.304943644,9.005267231,0.304945762,0.608160655,0.99577859
Ascorbate-specific phosphotransferase enzyme IIB component,-0.486520168,-0.204990644,0.303168191,0.609203217,0.99577859
NAD kinase,-0.208629037,7.081663484,0.30293483,0.609307243,0.99577859
DNA gyrase subunit A,0.226713043,10.79882115,0.302873682,0.609342189,0.99577859
Cof-like hydrolase,-0.646921181,6.663116807,0.302519376,0.609544765,0.99577859
Site-specific integrase 8,0.213507239,6.949445525,0.301687366,0.610021101,0.99577859
HEPN domain-containing protein,0.307195974,8.507916409,0.301572732,0.610086799,0.99577859
Co-chaperonin GroES,-0.430028129,6.932387989,0.301233604,0.610281259,0.99577859
Phosphate regulon transcriptional regulatory protein PhoB,0.344535406,8.038326747,0.299573722,0.611235179,0.99577859
Transglycosylase associated protein,-0.77556933,9.411333409,0.299501555,0.611276734,0.99577859
Aryl-phospho-beta-D-glucosidase BglH,-0.228958871,9.024552553,0.294775252,0.614012952,0.99577859
CCA-adding enzyme,-0.198906989,7.767241305,0.294058594,0.614430413,0.99577859
Large ribosomal subunit protein uL6,-0.376979279,10.91625604,0.293678942,0.61465184,0.99577859
PadR family transcriptional regulator,0.210394031,7.169977689,0.292621865,0.615269379,0.99577859
Redox-sensing transcriptional repressor Rex 2,-0.344457067,6.176207389,0.292158895,0.615540313,0.99577859
Exodeoxyribonuclease 7 large subunit,-0.250009273,6.881765185,0.291352765,0.616012753,0.99577859
Endonuclease YhcR,-0.332355215,5.988977489,0.291191299,0.616107487,0.99577859
"dTDP-glucose 4,6-dehydratase",-0.266653005,10.09936424,0.290322916,0.616617579,0.99577859
Large ribosomal subunit protein bL20,-0.559176699,9.115563495,0.288585908,0.617640968,0.99577859
Maltodextrin transport system permease protein MalC,0.610258951,6.376527675,0.288341752,0.617785146,0.99577859
Ribosomal RNA small subunit methyltransferase G,0.22142216,7.052561536,0.286863824,0.618659626,0.99577859
Tape measure protein N-terminal domain-containing protein,0.289030902,0.761584119,0.286829377,0.618687796,0.99577859
HK97 family phage major capsid protein,0.403424188,-0.359801941,0.28515591,0.619708332,0.99577859
Basic amino acid antiporter YfcC,-0.305610593,6.833628521,0.283662311,0.620564272,0.99577859
tRNA uridine(34) hydroxylase,-0.659254578,6.745190556,0.282958052,0.620985165,0.99577859
DUF305 domain-containing protein,-0.593107474,7.11282602,0.282302294,0.621377696,0.99577859
Spermidine/putrescine import ATP-binding protein PotA,0.200817035,6.308526199,0.281695596,0.621741399,0.99577859
Glycerol kinase,-0.332861393,8.926977846,0.281298405,0.621979789,0.99577859
putative DNA-directed RNA polymerase subunit delta,0.215333746,9.961413608,0.281231282,0.622020098,0.99577859
Tellurite resistance protein TelA,0.207698056,8.910322703,0.279481929,0.623072869,0.99577859
Epoxyqueuosine reductase,0.192582735,7.81957049,0.279232631,0.623223252,0.99577859
Calcium-transporting ATPase lmo0841,0.252468342,8.415952874,0.279026369,0.623347743,0.99577859
Small ribosomal subunit protein uS10,-0.534437152,9.206837013,0.278950323,0.623393656,0.99577859
Xylulose-5-phosphate phosphoketolase,-0.452177747,6.674058872,0.278380321,0.623738063,0.99577859
Short chain dehydrogenase family protein,-0.21742239,7.153099321,0.278303559,0.623784479,0.99577859
Inositol monophosphatase family protein,0.282359816,4.710934385,0.27792781,0.624011812,0.99577859
Heptaprenyl diphosphate synthase component II,-0.266548552,7.04537227,0.277295074,0.62439508,0.99577859
Mannose permease IID component,-0.247699978,12.34300716,0.276778081,0.62470867,0.99577859
Cyclic-di-AMP phosphodiesterase,-0.214600604,8.477762891,0.275607216,0.625420307,0.99577859
Flavin reductase like domain-containing protein,-0.393310099,7.169322518,0.275107892,0.625724396,0.99577859
Choline transport system permease protein OpuBD,-0.240649693,6.622296997,0.273345589,0.62680056,0.99577859
Pyruvate:ferredoxin oxidoreductase,-0.291699019,8.213614105,0.273106801,0.626946728,0.99577859
DNA topoisomerase type IA DNA-binding domain-containing protein,-0.295037566,3.500868718,0.27242945,0.62736182,0.99577859
LPXTG-domain-containing protein cell wall anchor domain,-0.290208581,-0.374840268,0.272333572,0.627452417,0.99577859
DNA repair protein RecN,-0.234855084,8.727843448,0.271755656,0.62777539,0.99577859
"Fructose-1,6-bisphosphatase class 3",-0.195129329,6.783694576,0.27128459,0.628064933,0.99577859
Galactose-1-phosphate uridylyltransferase,0.397706158,10.01440313,0.270782415,0.628373961,0.99577859
Arginine--tRNA ligase,-0.198535978,9.456095054,0.269642239,0.629077004,0.99577859
YitT family protein,0.205764019,4.639127766,0.268831262,0.629578249,0.99577859
L-lactate dehydrogenase 2,-0.219486831,8.322713441,0.268443678,0.629818153,0.99577859
Hypoxanthine-guanine phosphoribosyltransferase,0.241257927,7.658133253,0.267324766,0.630512011,0.99577859
"Tetracycline resistance protein, class C",0.353760406,5.344206508,0.266558281,0.630988422,0.99577859
Large ribosomal subunit protein bL31B,-0.360488815,10.36665855,0.266534416,0.631003269,0.99577859
DNA mismatch repair proteins mutS family domain-containing protein,0.221681478,7.799406967,0.266481575,0.631036147,0.99577859
Regulatory protein YycH domain-containing protein,-0.350327495,6.684026073,0.26630097,0.631148554,0.99577859
Sortase,0.216264472,6.894466212,0.266228179,0.631193873,0.99577859
Heat-inducible transcription repressor HrcA,-0.305129987,9.12600483,0.266022686,0.631321854,0.99577859
Aminopeptidase C,0.306978053,8.827578542,0.263910369,0.632641166,0.99577859
Group II intron reverse transcriptase/maturase,0.217109481,1.322397945,0.263461101,0.632926475,0.99577859
Holliday junction branch migration complex subunit RuvB,0.238315049,6.924185566,0.261238272,0.634320023,0.99577859
Endonuclease MutS2,-0.269999929,9.161380503,0.25997459,0.635117885,0.99577859
Enoyl reductase (ER) domain-containing protein,-0.607039522,6.806311194,0.259310438,0.635538229,0.99577859
"RNA methyltransferase, TrmH family, group 3",-0.328846098,8.075627962,0.258881689,0.635809958,0.99577859
Ribosomal-processing cysteine protease Prp,-0.39763361,10.1231615,0.25805955,0.636331826,0.99577859
DDE domain-containing protein,0.329278482,8.192047165,0.257952022,0.636400162,0.99577859
3-beta hydroxysteroid dehydrogenase/isomerase family,-1.3586036,5.449578353,0.257597814,0.636625397,0.99577859
Arsenate reductase,-0.281543865,5.664836882,0.254118461,0.638848616,0.99577859
Large ribosomal subunit protein uL18,-0.320186846,9.799641094,0.253638287,0.639156981,0.99577859
Pyrroline-5-carboxylate reductase,-0.186101809,7.056089481,0.252950488,0.639599342,0.99577859
PemK family transcriptional regulator,0.242708756,7.145705142,0.252069961,0.640166795,0.99577859
Bacterial Ig domain-containing protein,0.219750656,2.804213975,0.25131865,0.64065201,0.99577859
Copper chaperone CopZ,0.215166156,4.07988472,0.251190043,0.64073514,0.99577859
Mannosylglycerate hydrolase,-0.246389295,6.640631878,0.250508927,0.641175956,0.99577859
"HAD ATPase, P-type, family IC",-0.33673116,8.84768485,0.250180948,0.6413885,0.99577859
Trans-activating crRNA,0.295860323,-1.427688311,0.249830814,0.641726016,0.99577859
TIGR00255 family protein,-0.186271296,6.367670131,0.249576156,0.641780904,0.99577859
Cell division protein FtsZ,-0.309620959,10.64220247,0.247839248,0.642911273,0.99577859
Putative metal-dependent protease/peptidase,0.212232324,8.85951448,0.247273703,0.643280428,0.99577859
serine-type D-Ala-D-Ala carboxypeptidase,0.284198985,9.275462182,0.246899069,0.643525267,0.99577859
"Lead, cadmium, zinc and mercury transporting ATPase/ copper-translocating P-type ATPase",0.455709993,9.617299852,0.24685937,0.643551226,0.99577859
Bacteriocin immunity protein,0.196782428,5.270817233,0.24504661,0.644739453,0.99577859
PTS EIIA type-2 domain-containing protein,-0.21764038,3.510749807,0.244869893,0.644855597,0.99577859
Initiation-control protein YabA,0.202061664,5.63716033,0.243881298,0.645506278,0.99577859
Na+/H+ antiporter NhaC-like C-terminal domain-containing protein,-0.197958743,7.124748542,0.241577746,0.647029062,0.99577859
DNA-3-methyladenine glycosylase,-0.189429926,5.728282831,0.240516326,0.647733857,0.99577859
D-lactate dehydrogenase,0.440280793,2.941106598,0.240466167,0.647767231,0.99577859
ABC transporter nucleoside-binding protein BmpA,-0.215998692,9.8895387,0.24011984,0.647997639,0.99577859
tRNA pseudouridine synthase B,-0.242877569,5.552195202,0.240034043,0.648054757,0.99577859
tRNA-Gln(ctg),0.21085224,2.413816413,0.238722197,0.648929756,0.99577859
Nudix hydrolase domain-containing protein,0.580470333,8.693300665,0.238697418,0.648946278,0.99577859
BglG family transcriptional antiterminator,0.193980416,6.998614758,0.238553192,0.649042666,0.99577859
DNA gyrase subunit B,0.26099008,10.46701298,0.238023343,0.649397092,0.99577859
Ribosome maturation factor RimP,-0.212166479,6.47146624,0.237919095,0.649466885,0.99577859
Purine nucleoside phosphorylase DeoD-type,0.188125677,8.433061223,0.236296114,0.650555981,0.99577859
Dihydrofolate reductase,-0.341999097,7.108191899,0.236022857,0.650739818,0.99577859
Manganese catalase,-0.699634362,4.947729016,0.235926131,0.650804925,0.99577859
FAD-dependent urate hydroxylase HpyO/Asp monooxygenase CreE-like FAD/NAD(P)-binding domain-containing protein,-0.303059781,6.678757385,0.235777658,0.650904895,0.99577859
DNA-directed RNA polymerase subunit beta',-0.383403747,11.63112311,0.235347273,0.65119491,0.99577859
Peroxide operon regulator,0.256856051,6.063437553,0.235024314,0.651412758,0.99577859
Nucleoside 2-deoxyribosyltransferase,-0.203353507,5.167843706,0.233277774,0.652594183,0.99577859
DUF2179 domain-containing protein,-0.186610855,8.647218719,0.232403921,0.653187402,0.99577859
ABC transporter ATP-binding component,-0.324667001,9.284729347,0.23192922,0.653510251,0.99577859
ATP-dependent DNA helicase,0.1848024,8.983816032,0.231881706,0.653542588,0.99577859
Addiction module antidote,0.4078415,4.74014926,0.231781732,0.653610646,0.99577859
Energy-coupling factor transporter ATP-binding protein EcfA1,0.293181056,5.881616257,0.2316158,0.653723641,0.99577859
N-acetylglucosamine-6-phosphate deacetylase,-0.211126408,8.154467347,0.229693592,0.655036391,0.99577859
Ascorbate-specific phosphotransferase enzyme IIA component,-0.408731377,6.486130159,0.227926701,0.656249231,0.99577859
DNA helicase,-0.218302072,7.643547774,0.227518458,0.656530305,0.99577859
DUF3284 domain-containing protein,0.362552539,7.562571828,0.227323128,0.656664904,0.99577859
Glutamyl aminopeptidase,0.192182334,10.39468088,0.22715267,0.656782422,0.99577859
Putative adhesin domain-containing protein,0.188523318,8.720075542,0.226880436,0.656970224,0.99577859
Snf2 family protein,-0.210286393,8.883979117,0.226716497,0.657083387,0.99577859
Gamma-glutamyl phosphate reductase,-0.247396213,8.461474838,0.22665264,0.657127479,0.99577859
UDP-glucose 4-epimerase,-0.386816968,8.252474618,0.226249758,0.657405848,0.99577859
Arginine deiminase,0.405347883,14.54349108,0.225348527,0.658029684,0.99577859
PTS system EIIA component,0.184141094,5.127858941,0.225025463,0.658253695,0.99577859
Glutamate 5-kinase,0.173607463,7.526469726,0.224891826,0.658346416,0.99577859
Ribosomal protein L10 leader,-0.390624566,9.303294532,0.224167921,0.658849294,0.99577859
"BRO family, N-terminal domain protein",-0.345801257,-0.693155452,0.224180896,0.658884528,0.99577859
3-dehydroquinate dehydratase,-0.179124613,6.688380607,0.223782185,0.659117674,0.99577859
Glycoside hydrolase family 1,0.329368206,5.402301125,0.223481734,0.659326918,0.99577859
ABC transporter domain-containing protein,-0.184583706,10.50467692,0.223313753,0.659443983,0.99577859
